"","study","stroke","year","followup"
"23","ACTIVE-W",0.15,2006,1.3
"1","AFASAK 1",0.06,1989,1.2
"12","AFASAK 2",0.1,1998,2.2
"2","BAATAF",0.03,1990,2.2
"25","BAFTA",0.13,2007,2.7
"4","CAFA",0.04,1991,1.3
"24","Chinese ATAFS",0.19,2006,1.6
"6","EAFT",1,1993,2.3
"11","ESPS 2",1,1997,1.2
"22","JAST",0.03,2006,2.1
"17","JNAFESP",1,2000,1.8
"15","LASAF",0,1999,1.5
"13","MWNAF",0,1998,1.2
"20","NASPEAF",0,2004,2.3
"14","PATAF",0,1999,2.7
"19","SAFT",0,2003,2.8
"10","SIFA",1,1997,1
"3","SPAF 1",0.08,1991,1.3
"7","SPAF 2a",0.06,1994,2.8
"8","SPAF 2b",0.09,1994,2.8
"9","SPAF 3",0.38,1996,1.1
"5","SPINAF",0.08,1992,1.7
"18","SPORTIF 3",0.24,2003,1.4
"21","SPORTIF 5",0.19,2005,1.6
"16","UK-TIA",1,1991,4
"26","WASPO",0,2007,1
