"","study","treatment","responders","sampleSize"
"1","Kasper2005","escitalopram",78,174
"2","Kasper2005","fluoxetine",61,164
"3","Sir2005","sertraline",56,79
"4","Sir2005","venlafaxine",56,84
"5","Tylee1997","fluoxetine",58,170
"6","Tylee1997","venlafaxine",67,171
"7","Kiev1997","fluvoxamine",17,30
"8","Kiev1997","paroxetine",16,30
"9","Clayton2002","fluoxetine",79,150
"10","Clayton2002","reboxetine",59,150
"11","Eker2005","reboxetine",16,25
"12","Eker2005","sertraline",17,24
"13","Dierick1996","fluoxetine",67,161
"14","Dierick1996","venlafaxine",80,153
"15","Clayton2006a(WELL_AK130927)","bupropion",82,141
"16","Clayton2006a(WELL_AK130927)","escitalopram",90,138
"17","Rudolph1999","fluoxetine",51,103
"18","Rudolph1999","venlafaxine",54,100
"19","Gagiano1993","fluoxetine",27,45
"20","Gagiano1993","paroxetine",30,45
"21","Taner2006","fluoxetine",19,21
"22","Taner2006","reboxetine",14,22
"23","Wheatley1997","fluoxetine",28,67
"24","Wheatley1997","mirtazapine",39,66
"25","Khanzode2003","citalopram",3,33
"26","Khanzode2003","fluoxetine",4,34
"27","Thase2006","bupropion",86,171
"28","Thase2006","venlafaxine",82,177
"29","Fava1998","fluoxetine",31,54
"30","Fava1998","paroxetine",32,55
"31","Tignol1993","fluoxetine",54,87
"32","Tignol1993","paroxetine",53,89
"33","Schoemaker2002","fluvoxamine",127,207
"34","Schoemaker2002","mirtazapine",132,205
"35","Montgomery2004","escitalopram",113,148
"36","Montgomery2004","venlafaxine",113,145
"37","Boulenger2006","escitalopram",162,232
"38","Boulenger2006","paroxetine",144,227
"39","Suri2000","fluoxetine",5,18
"40","Suri2000","sertraline",9,35
"41","Wehis2000","bupropion",34,48
"42","Wehis2000","paroxetine",40,52
"43","Geretsegger MY1021/BRC","fluoxetine",8,52
"44","Geretsegger MY1021/BRC","paroxetine",19,54
"45","Perahia2006","duloxetine",139,196
"46","Perahia2006","paroxetine",65,97
"47","Bielski2004","escitalopram",59,101
"48","Bielski2004","venlafaxine",47,101
"49","Feighner1991","bupropion",37,61
"50","Feighner1991","fluoxetine",35,62
"51","Khan2007","duloxetine",66,138
"52","Khan2007","escitalopram",83,140
"53","Coleman1999","bupropion",78,122
"54","Coleman1999","sertraline",67,118
"55","Akkaya2003","reboxetine",32,57
"56","Akkaya2003","venlafaxine",37,50
"57","Chen2001","sertraline",26,45
"58","Chen2001","venlafaxine",31,44
"59","Timmerman1993","citalopram",33,108
"60","Timmerman1993","fluvoxamine",31,109
"61","WELL_AK1A4006","bupropion",74,158
"62","WELL_AK1A4006","fluoxetine",88,155
"63","Clerc1994","fluoxetine",17,34
"64","Clerc1994","venlafaxine",24,34
"65","Van Moffaert1995","fluoxetine",48,82
"66","Van Moffaert1995","sertraline",49,83
"67","Kato2006","fluvoxamine",31,49
