"","study","treatment","responders","sampleSize"
"1","01","AtPA",652,10344
"2","01","SK",1472,20163
"3","01","SKtPA",723,10328
"4","02","ASPAC",1448,13773
"5","02","SK",1455,13780
"6","02","tPA",1418,13746
"7","03","SK",9,130
"8","03","tPA",6,123
"9","04","SK",5,63
"10","04","tPA",2,59
"11","05","SK",3,65
"12","05","tPA",3,64
"13","06","SK",887,10396
"14","06","tPA",929,10372
"15","07","SK",7,85
"16","07","tPA",4,86
"17","08","SK",12,147
"18","08","tPA",7,143
"19","09","SK",10,135
"20","09","tPA",5,135
"21","10","SK",4,107
"22","10","SKtPA",6,109
"23","11","Ret",270,2994
"24","11","SK",285,2992
"25","12","SK",10,203
"26","12","UK",7,198
"27","13","ASPAC",2,52
"28","13","SK",3,58
"29","14","ASPAC",6,89
"30","14","SK",3,86
"31","15","ASPAC",2,58
"32","15","SK",3,58
"33","16","ASPAC",11,188
"34","16","SK",13,182
"35","17","AtPA",522,8488
"36","17","Ten",523,8461
"37","18","AtPA",356,4921
"38","18","Ret",757,10138
"39","19","AtPA",13,155
"40","19","Ret",7,169
"41","20","AtPA",2,26
"42","20","UK",7,54
"43","21","AtPA",12,268
"44","21","UK",16,350
"45","22","ASPAC",17,211
"46","22","AtPA",5,210
"47","23","ASPAC",13,147
"48","23","AtPA",3,138
"49","24","tPA",8,132
"50","24","UK",4,66
"51","25","tPA",10,164
"52","25","UK",6,166
"53","26","tPA",6,124
"54","26","UK",5,121
"55","27","ASPAC",10,161
"56","27","tPA",13,164
"57","28","ASPAC",5,90
"58","28","tPA",7,93
